home_team,away_team,season,prob_home,prob_draw,prob_away
Reading,Watford,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Sunderland,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Birmingham City,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Derby County,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Stoke City,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Hull City,2017-2018,0.43658036,0.27725303,0.2861666
Reading,West Bromwich Albion,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Wolverhampton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Burnley,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Blackpool,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Norwich City,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Swansea City,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Queens Park Rangers,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Southampton,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Crystal Palace,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Cardiff City,2017-2018,0.43658036,0.27725303,0.2861666
Reading,Leicester City,2017-2018,0.43658036,0.27725303,0.2861666
Reading,AFC Bournemouth,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Manchester United,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Chelsea,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Liverpool,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Arsenal,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Tottenham Hotspur,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Bolton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Reading,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Everton,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Portsmouth,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Middlesbrough,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,West Ham United,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Aston Villa,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Manchester City,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Newcastle United,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Sheffield United,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Wigan Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Charlton Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Fulham,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Watford,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Sunderland,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Birmingham City,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Derby County,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Stoke City,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Hull City,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,West Bromwich Albion,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Wolverhampton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Burnley,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Blackpool,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Norwich City,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Swansea City,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Queens Park Rangers,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Southampton,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Crystal Palace,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Cardiff City,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Leicester City,2017-2018,0.43658036,0.27725303,0.2861666
Blackburn Rovers,AFC Bournemouth,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Manchester United,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Chelsea,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Liverpool,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Arsenal,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Tottenham Hotspur,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Bolton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Reading,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Blackburn Rovers,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Portsmouth,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Middlesbrough,2017-2018,0.43658036,0.27725303,0.2861666
Everton,West Ham United,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Aston Villa,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Manchester City,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Newcastle United,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Sheffield United,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Wigan Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Charlton Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Fulham,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Watford,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Sunderland,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Birmingham City,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Derby County,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Stoke City,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Hull City,2017-2018,0.43658036,0.27725303,0.2861666
Everton,West Bromwich Albion,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Wolverhampton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Burnley,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Blackpool,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Norwich City,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Swansea City,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Queens Park Rangers,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Southampton,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Crystal Palace,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Cardiff City,2017-2018,0.43658036,0.27725303,0.2861666
Everton,Leicester City,2017-2018,0.43658036,0.27725303,0.2861666
Everton,AFC Bournemouth,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Manchester United,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Chelsea,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Liverpool,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Arsenal,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Tottenham Hotspur,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Bolton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Reading,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Blackburn Rovers,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Everton,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Middlesbrough,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,West Ham United,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Aston Villa,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Manchester City,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Newcastle United,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Sheffield United,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Wigan Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Charlton Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Fulham,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Watford,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Sunderland,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Birmingham City,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Derby County,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Stoke City,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Hull City,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,West Bromwich Albion,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Wolverhampton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Burnley,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Blackpool,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Norwich City,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Swansea City,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Queens Park Rangers,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Southampton,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Crystal Palace,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Cardiff City,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,Leicester City,2017-2018,0.43658036,0.27725303,0.2861666
Portsmouth,AFC Bournemouth,2017-2018,0.43658036,0.27725303,0.2861666
Middlesbrough,Manchester United,2017-2018,0.43658036,0.27725303,0.2861666
Middlesbrough,Chelsea,2017-2018,0.43658036,0.27725303,0.2861666
Middlesbrough,Liverpool,2017-2018,0.43658036,0.27725303,0.2861666
Middlesbrough,Arsenal,2017-2018,0.43658036,0.27725303,0.2861666
